pmid;title;abstract;source;group;Manual
10021369;Identification of APC2, a homologue of the adenomatous polyposis coli tumour suppressor .;The adenomatous polyposis coli ( APC ) tumour-suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK-3beta ) , axin / conductin and betacatenin . Complex formation induces the rapid degradation of betacatenin . In colon carcinoma cells , loss of APC leads to the accumulation of betacatenin in the nucleus , where it binds to and activates the Tcf-4 transcription factor ( reviewed in [ 1 ] [ 2 ] ) . Here , we report the identification and genomic structure of APC homologues . Mammalian APC2 , which closely resembles APC in overall domain structure , was functionally analyzed and shown to contain two SAMP domains , both of which are required for binding to conductin . Like APC , APC2 regulates the formation of active betacatenin-Tcf complexes , as demonstrated using transient transcriptional activation assays in APC - / - colon carcinoma cells . Human APC2 maps to chromosome 19p13 . 3 . APC and APC2 may therefore have comparable functions in development and cancer .;NCBI;oncological;
10051005;A common MSH2 mutation in English and North American HNPCC families: origin, phenotypic expression, and sex specific differences in colorectal cancer .;The frequency , origin , and phenotypic expression of a germline MSH2 gene mutation previously identified in seven kindreds with hereditary non-polyposis cancer syndrome (HNPCC) was investigated . The mutation ( A-- > T at nt943 + 3 ) disrupts the 3 splice site of exon 5 leading to the deletion of this exon from MSH2 mRNA and represents the only frequent MSH2 mutation so far reported . Although this mutation was initially detected in four of 33 colorectal cancer families analysed from eastern England , more extensive analysis has reduced the frequency to four of 52 ( 8 % ) English HNPCC kindreds analysed . In contrast , the MSH2 mutation was identified in 10 of 20 ( 50 % ) separately identified colorectal families from Newfoundland . To investigate the origin of this mutation in colorectal cancer families from England ( n = 4 ) , Newfoundland ( n = 10 ) , and the United States ( n = 3 ) , haplotype analysis using microsatellite markers linked to MSH2 was performed . Within the English and US families there was little evidence for a recent common origin of the MSH2 splice site mutation in most families . In contrast , a common haplotype was identified at the two flanking markers ( CA5 and D2S288 ) in eight of the Newfoundland families . These findings suggested a founder effect within Newfoundland similar to that reported by others for two MLH1 mutations in Finnish HNPCC families . We calculated age related risks of all , colorectal , endometrial , and ovarian cancers in nt943 + 3 A-- > T MSH2 mutation carriers ( n = 76 ) for all patients and for men and women separately . For both sexes combined , the penetrances at age 60 years for all cancers  and for colorectal cancer were 0 . 86 and 0 . 57 , respectively . The risk of colorectal cancer was significantly higher ( p endometrial cancer ( 0 . 5 at age 60 years ) and premenopausal ovarian cancer ( 0 . 2 at 50 years ) . These intersex differences in colorectal cancer risks have implications for screening programmes and for attempts to identify colorectal cancer susceptibility modifiers .;NCBI;neurological|oncological;
10051007;Age of onset in Huntington disease : sex specific influence of apolipoprotein E genotype and normal CAG repeat length .;Age of onset ( AO ) of Huntington disease ( HD) is known to be correlated with the length of an expanded CAG repeat in the HD gene . Apolipoprotein E ( APOE ) genotype , in turn , is known to influence AO in Alzheimer disease , rendering the APOE gene a likely candidate to affect AO in other neurological diseases too . We therefore determined APOE genotype and normal CAG repeat length in the HD gene for 138 HD patients who were previously analysed with respect to CAG repeat length . Genotyping for APOE was performed blind to clinical information . In addition to highlighting the effect of the normal repeat length upon AO in maternally inherited HD and in male patients , we show that the APOE epsilon2epsilon3 genotype is associated with significantly earlier AO in males than in females . Such a sex difference in AO was not apparent for any of the other APOE genotypes . Our findings suggest that subtle differences in the course of the neurodegeneration  in HD  may allow interacting genes to exert gender specific effects upon AO.;NCBI;neurological;
100562;Familial deficiency of the seventh component of complement associated with recurrent bacteremic infections due to Neisseria .;The serum of a 29-year old woman with a recent episode of disseminated gonococcal infection and a history of meningococcal meningitis and arthritis as a child was found to lack serum hemolytic complement activity . The seventh component of complement ( C7 ) was not detected by functional or immunochemical assays , whereas other components were normal by hemolytic and immunochemical assessment . Her fresh serum lacked complement-mediated bactericidal activity against Neisseria gonorrhoeae , but the addition of fresh normal serum or purified C7 restored bactericidal activity as well as hemolytic activity . The absence of functional C7 activity could not be accounted for on the basis of an inhibitor . Opsonization and generation of chemotactic activity functioned normally . Complete absence of C7 was also found in one sibling who had the clinical syndrome of meningococcal meningitis and arthritis  as a child and in this siblings clinically well eight-year-old son . HLA histocompatibility typing of the family members did not demonstrate evidence for genetic linkage of C7 deficiency with the major histocompatibility loci . This report represents the first cases of C7 deficiency associated with infectious complications and suggests that bactericidal activity may be important in host defense against bacteremic neisseria infections .;NCBI;neurological|cardiovascular;X
10064668;Increased incidence of cancer in patients with cartilage-hair hypoplasia .;OBJECTIVE  Previous reports have suggested an increased risk of cancer among patients with cartilage-hair hypoplasia (CHH) . This study was carried out to further evaluate this risk among patients with CHH and their first-degree relatives . STUDY DESIGN  One hundred twenty-two patients with CHH were identified through 2 countrywide epidemiologic surveys in 1974 and in 1986 . Their parents and nonaffected siblings were identified through the Population Register Center . This cohort underwent follow-up for cancer incidence through the Finnish Cancer Registry to the end of 1995 . RESULTS  A statistically significant excess risk of cancer was seen among the patients with CHH ( standardized incidence ratio 6 . 9 , 95 % confidence interval 2 . 3 to 16 ) , which was mainly attributable to non-Hodgkins lymphoma  ( standardized incidence ratio 90 , 95 % confidence interval 18 to 264 ) . In addition , a significant excess risk of basal cell carcinoma was seen ( standardized incidence ratio 35 , 95 % confidence interval 7 . 2 to 102 ) . The cancer incidence among the siblings or the parents did not differ from the average cancer incidence in the Finnish population . CONCLUSIONS  This study confirms an increased risk of cancer, especially non-Hodgkins lymphoma , probably attributable to defective immunity , among patients with CHH .;NCBI;neurological|oncological;
10071185;Genotype and phenotype in patients with dihydropyrimidine dehydrogenase deficiency .;Dihydropyrimidine dehydrogenase ( DPD ) deficiency is an autosomal recessive disease characterised by thymine-uraciluria in homozygous deficient patients and has been associated with a variable clinical phenotype . In order to understand the genetic and phenotypic basis for DPD deficiency , we have reviewed 17 families presenting 22 patients with complete deficiency of DPD . In this group of patients , 7 different mutations have been identified , including 2 deletions [ 295-298delTCAT , 1897delC ] , 1 splice-site mutation [ IVS14 + 1G > A ) ] and 4 missense mutations ( 85T > C , 703C > T , 2658G > A , 2983G > T ) . Analysis of the prevalence of the various mutations among DPD patients has shown that the G-- > A point mutation in the invariant splice donor site is by far the most common ( 52 % ) , whereas the other six mutations are less frequently observed . A large phenotypic variability has been observed , with convulsive disorders , motor retardation and mental retardation being the most abundant manifestations . A clear correlation between the genotype and phenotype has not been established . An altered beta-alanine , uracil and thymine homeostasis might underlie the various clinical abnormalities encountered in patients with DPD deficiency .;NCBI;neurological|hepatorenal;X
10071193;Fibroblast growth factor homologous factor 2 (FHF2): gene structure, expression and mapping to the Borjeson-Forssman-Lehmann syndrome region in Xq26 delineated by a duplication breakpoint in a BFLS-like patient .;Borjeson-Forssman-Lehmann syndrome ( BFLS ) is a syndromal X-linked mental retardation , which maps by linkage to the q26 region of the human X chromosome . We have identified a male patient with BFLS-like features and a duplication , 46 , Y , dup ( X ) ( q26q28 ) , inherited from his phenotypically normal mother . Fluorescence in situ hybridisation using yeast artificial chromosome clones from Xq26 localised the duplication breakpoint to an approximately 400-kb interval in the Xq26 . 3 region between DXS155 and DXS294 / DXS730 . Database searches and analysis of available genomic DNA sequence from the region revealed the presence of the fibroblast growth factor homologous factor gene , FHF2 , within the duplication breakpoint interval . The gene structure of FHF2 was determined and two new exons were identified , including a new 5 end exon , 1B . FHF2 is a large gene extending over approximately 200 kb in Xq26 . 3 and is composed of at least seven exons . It shows tissue-specific alternative splicing and alternative transcription starts . Northern blot hybridisation showed highest expression in brain and skeletal muscle . The FHF2 gene localisation and tissue-specific expression pattern suggest it to be a candidate gene for familial cases of the BFLS syndrome and other syndromal and non-specific forms of X-linked mental retardation mapping to the region .;NCBI;neurological;
10072428;Germline E-cadherin gene (CDH1) mutations predispose to familial gastric cancer and colorectal cancer .;"Inherited mutations in the E-cadherin gene ( CDH1 ) were described recently in three Maori kindreds with familial gastric cancer . Familial gastric cancer is genetically heterogeneous and it is not clear what proportion of gastric cancer susceptibility in non-Maori populations is due to germline CDH1 mutations . Therefore , we screened eight familial gastric cancer kindreds of British and Irish origin for germline CDH1 mutations , by SSCP analysis of all 16 exons and flanking sequences . Each family contained  ( i ) two cases of gastric cancer in first degree relatives with one affected before age 50 years ; or ( ii ) three or more cases of gastric cancer . Novel germline CDH1 mutations ( a nonsense and a splice site ) were detected in two families ( 25 % ) . Both mutations were predicted to truncate the E-cadherin protein in the signal peptide domain . In one family there was evidence of non-penetrance and susceptibility to both gastric and colorectal cancer ; thus , in addition to six cases of gastric cancer , a CDH1 mutation carrier developed colorectal cancer at age 30 years . We have confirmed that germline mutations in the CDH1 gene cause familial gastric cancer in non-Maori populations . However , only a minority of familial gastric cancers can be accounted for by CDH1 mutations . Loss of E-cadherin function has been implicated in the pathogenesis of sporadic colorectal and other cancers , and our findings provide evidence that germline CDH1 mutations predispose to early onset colorectal cancer . Thus , CDH1 should be investigated as a cause of inherited susceptibility to both gastric and colorectal cancers .";NCBI;oncological;
10077614;A zinc finger truncation of murine WT1 results in the characteristic urogenital abnormalities of Denys-Drash syndrome  .;The Wilms tumor -suppressor gene , WT1 , plays a key role in urogenital development , and WT1 dysfunction is implicated in both neoplastic ( Wilms tumor , mesothelioma , leukemias , and breast cancer ) and nonneoplastic ( glomerulosclerosis ) disease . The analysis of diseases linked specifically with WT1 mutations , such as Denys-Drash syndrome ( DDS ) , can provide valuable insight concerning the role of WT1 in development and disease . DDS is a rare childhood disease characterized by a nephropathy involving mesangial sclerosis , XY pseudohermaphroditism , and / or Wilms tumor ( WT ) . DDS patients are constitutionally heterozygous for exonic point mutations in WT1 , which include mutations predicted to truncate the protein within the C-terminal zinc finger ( ZF ) region . We report that heterozygosity for a targeted murine Wt1 allele , Wt1 ( tmT396 ) , which truncates ZF3 at codon 396 , induces mesangial sclerosis characteristic of DDS in adult heterozygous and chimeric mice . Male genital defects also were evident and there was a single case of Wilms tumor in which the transcript of the nontargeted allele showed an exon 9 skipping event , implying a causal link between Wt1 dysfunction and Wilms tumorigenesis in mice . However , the mutant WT1 ( tmT396 ) protein accounted for only 5 % of WT1 in both heterozygous embryonic stem cells and the WT . This has implications regarding the mechanism by which the mutant allele exerts its effect .;NCBI;neurological|hepatorenal|oncological;
10077651;Mechanism of increased iron absorption in murine model of hereditary hemochromatosis : increased duodenal expression of the iron transporter DMT1 .;Hereditary hemochromatosis ( HH ) is a common autosomal recessive disorder characterized by tissue iron deposition secondary to excessive dietary iron absorption . We recently reported that HFE , the protein defective in HH , was physically associated with the transferrin receptor ( TfR ) in duodenal crypt cells and proposed that mutations in HFE attenuate the uptake of transferrin-bound iron from plasma by duodenal crypt cells , leading to up-regulation of transporters for dietary iron . Here , we tested the hypothesis that HFE- / - mice have increased duodenal expression of the divalent metal transporter ( DMT1 ) . By 4 weeks of age , the HFE- / - mice demonstrated iron loading when compared with HFE + / + littermates , with elevated transferrin saturations ( 68 . 4 % vs . 49 . 8 % ) and elevated liver iron concentrations ( 985 micrograms vs . 381 micrograms ) . By using Northern blot analyses , we quantitated duodenal expression of both classes of DMT1 transcripts  one containing an iron responsive element ( IRE ) , called DMT1 ( IRE ) , and one containing no IRE , called DMT1 ( non-IRE ) . The positive control for DMT1 up-regulation was a murine model of dietary iron deficiency that demonstrated greatly increased levels of duodenal DMT1 ( IRE ) mRNA . HFE- / - mice also demonstrated an increase in duodenal DMT1 ( IRE ) mRNA ( average 7 . 7-fold ) , despite their elevated transferrin saturation and hepatic iron content . Duodenal expression of DMT1 ( non-IRE ) was not increased , nor was hepatic expression of DMT1 increased . These data support the model for HH in which HFE mutations lead to inappropriately low crypt cell iron , with resultant stabilization of DMT1 ( IRE ) mRNA , up-regulation of DMT1 , and increased absorption of dietary iron .;NCBI;neurological|hepatorenal;
