;pmid;title;abstract;source;group;Manual;id;stratify_col
1821;1000016;Heart rhythms and hepatitis dynamics;Background: stroke affects cardiac patients worldwide, particularly involving thromboembolism and embolism. Methods: We conducted a cross-sectional study to evaluate ACE inhibitors in 462 patients, examining atherosclerosis parameters. Results: superior clinical efficacy. Conclusion: patient care improvement.;synthetic data;cardiovascular;;1822;synthetic data|cardiovascular
601;20003049;Prolonged elevation of plasma argatroban in a cardiac transplant patient with a suspected history of heparin-induced thrombocytopenia with thrombosis.;BACKGROUND: Direct thrombin inhibitors (DTIs) provide an alternative method of anticoagulation for patients with a history of heparin-induced thrombocytopenia (HIT) or HIT with thrombosis (HITT) undergoing cardiopulmonary bypass (CPB). In the following report, a 65-year-old critically ill patient with a suspected history of HITT was administered argatroban for anticoagulation on bypass during heart transplantation. The patient required massive transfusion support (55 units of red blood cells, 42 units of fresh-frozen plasma, 40 units of cryoprecipitate, 40 units of platelets, and three doses of recombinant Factor VIIa) for severe intraoperative and postoperative bleeding. STUDY DESIGN AND METHODS: Plasma samples from before and after CPB were analyzed postoperatively for argatroban concentration using a modified ecarin clotting time (ECT) assay. RESULTS: Unexpectedly high concentrations of argatroban were measured in these samples (range, 0-32 microg/mL), and a prolonged plasma argatroban half life (t(1/2)) of 514 minutes was observed (published elimination t(1/2) is 39-51 minutes [< or = 181 minutes with hepatic impairment]). CONCLUSIONS: Correlation of plasma argatroban concentration versus the patient's coagulation variables and clinical course suggest that prolonged elevated levels of plasma argatroban may have contributed to the patient's extended coagulopathy. Because DTIs do not have reversal agents, surgical teams and transfusion services should remain aware of the possibility of massive transfusion events during anticoagulation with these agents. This is the first report to measure plasma argatroban concentration in the context of CPB and extended coagulopathy.;bc5cdr;neurological|cardiovascular|hepatorenal;;602;bc5cdr|neurological|cardiovascular|hepatorenal
2062;1000498;hypertensive markers in hypertension;Research question: How does ACE inhibitors affect cancer through endothelial mechanisms? Methods: retrospective study with 209 adult population, assessing ectopic beat and systolic. Results: favorable safety profile. Implications: safety considerations.;synthetic data;cardiovascular;;2063;synthetic data|cardiovascular
3316;1001886;hypertension and nephrotic syndrome: organ interplay;Purpose: This observational study examined beta-blockers for cancer in diabetic patients. The investigation included analysis of hcc, primary biliary cholangitis, and esrd. Methods: 181 participants were included. Results: favorable safety profile. Implications: treatment optimization.;synthetic data;hepatorenal;;3317;synthetic data|hepatorenal
2635;1001076;Brain dynamics: cancer and epinephrine;Study design: prospective investigation of ACE inhibitors in dementia. Participants: 70 elderly patients with pituitary adenoma and transient ischemic attack evaluation. Results: improved disease management with locus coeruleus correlation. Conclusion: treatment optimization.;synthetic data;neurological;;2636;synthetic data|neurological
1073;733189;Bilateral retinal artery and choriocapillaris occlusion following the injection of long-acting corticosteroid suspensions in combination with other drugs: I. Clinical studies.;Two well-documented cases of bilateral retinal artery and choriocapillaris occlusions with blindness following head and neck soft-tissue injection with methylprednisolone acetate in combination with lidocaine, epinephrine, or penicillin are reported. One case had only a unilateral injection. The acute observations included hazy sensorium, superior gaze palsy, pupillary abnormalities, and conjunctival hemorrhages with edema. Follow-up changes showed marked visual loss, constricted visual fields, optic nerve pallor, vascular attenuation, and chorioretinal atrophy. The literature is reviewed, and possible causes are discussed.;bc5cdr;cardiovascular;;1074;bc5cdr|cardiovascular
2970;1001194;dementia through hepatorenal lens;Study design: randomized controlled investigation of metformin in stroke. Participants: 116 cardiac patients with hepatitis and primary biliary cholangitis evaluation. Results: favorable safety profile with renal correlation. Conclusion: cost-effectiveness implications.;synthetic data;hepatorenal;;2971;synthetic data|hepatorenal
3044;1001342;Organ orchestra: leukemia;Study design: longitudinal investigation of aspirin in cancer. Participants: 85 elderly patients with nonalcoholic steatohepatitis and cirrhosis evaluation. Results: favorable safety profile with hydronephrosis correlation. Conclusion: therapeutic innovation.;synthetic data;hepatorenal;;3045;synthetic data|hepatorenal
3924;1002186;immunotherapy and heart failure: brain insights;Background: heart disease affects cancer patients worldwide, particularly involving peritoneal dialysis and cirrhosis. Methods: We conducted a retrospective study to evaluate beta-blockers in 168 patients, examining cerebral cortex parameters. Results: reduction in adverse events. Conclusion: clinical relevance.;synthetic data;neurological|hepatorenal;;3925;synthetic data|neurological|hepatorenal
893;2265898;Serial epilepsy caused by levodopa/carbidopa administration in two patients on hemodialysis.;"Two patients with similar clinical features are presented: both patients had chronic renal failure, on hemodialysis for many years but recently begun on a high-flux dialyzer; both had been receiving a carbidopa/levodopa preparation; and both had the onset of hallucinosis and recurrent seizures, which were refractory to anticonvulsants. The first patient died without a diagnosis; the second patient had a dramatic recovery following the administration of vitamin B6. Neither patient was considered to have a renal state sufficiently severe enough to explain their presentation.";bc5cdr;neurological|hepatorenal;;894;bc5cdr|neurological|hepatorenal
